"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"Akita Prefectural Museum:Observation Records of Birds in Akita Prefecture",,3426,20787,0.16,93,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Relative abundance of planktic foraminifera in sediment core GeoB2204-2",,3420,3569,0.96,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Antarctic Jellyfish",,3398,3398,1.00,53,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Registros biológicos  en áreas protegidas obtenidos de documentos impresos",,3375,60192,0.06,526,"Administración de Parques Nacionales, Argentina","AR","TAPIR Installation","GBIF Argentina"
"(Table 10A) Occurrences of planktonic foraminifers in selected samples of DSDP Hole 90-588",,3368,5960,0.57,34,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Lichen Herbarium Berlin",,3366,117031,0.03,311,"Botanic Garden and Botanical Museum Berlin-Dahlem","DE","BioCASe Installation Botanic Garden and Botanical Museum Berlin-Dahlem","GBIF Germany"
"DMNH Birds",,3364,76241,0.04,232,"Delaware Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"(Appendix) Relative abundance of planktonic foraminifera in ODP Site 138-846 late Quaternary sediments",,3359,3359,1.00,10,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"FHSM Fish Collection",,3348,25219,0.13,36,"Fort Hays Sternberg Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Zoological Museum Amsterdam, University of Amsterdam (NL) - Platyhelminthes",,3338,5970,0.56,173,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"Abundance of planktonic foraminifera in sediment core V12-122",,3325,3587,0.93,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Collection Aves (bird skeletons) SMF",,3287,18191,0.18,320,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Lichen herbarium, Oslo (O)",,3272,162904,0.02,68,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Distribution of planktic foraminifera of sediment core M33/1_SL_NAST",,3265,3478,0.94,32,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"JPB - Herbário Lauro Pires Xavier",,3256,35364,0.09,270,"Universidade Federal da Paraíba","BR","speciesLink Network / INCT-HVFF IPT","GBIF Brazil"
"Birds (GMBO-BI)",,3249,8332,0.39,38,"Kunsan Passage Bird Research Institute","KR","KBIF IPT","Korean Biodiversity Information Facility"
"(Table 4) Stratigraphic ranges of planktonic foraminifers in ODP Hole 144-872C",,3248,5376,0.60,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Recent Invertebrates Specimens",,3228,57312,0.06,1679,"Sam Noble Oklahoma Museum of Natural History","US","SNOMNH IPT","U.S. Geological Survey"
"Flora Atlas N.T.",,3225,716445,0.00,45,"Department of Natural Resources, Environment, The Arts and Sport, Northern Territory of Australia","AU","ALA.org.au","Atlas of Living Australia"
"Museum of Zoology, University of Navarra",,3220,74861,0.04,1137,"University of Navarra, Museum of Zoology","ES","University of Navarra, Museum of Zoology","GBIF Spain"
"RMT Trawl catch from the 1980/81 V5 FIBEX voyage (Australian Antarctic Data Centre)",t,3217,3219,1.00,73,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Relative abundance of planktic foraminifera in sediment core GeoB1312-2",,3211,3224,1.00,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Banc de dades de biodiversitat de Catalunya-FungaCat",,3198,55879,0.06,300,"Banc de dades de biodiversitat de Catalunya","ES","BioCASe Installation Banc de dades de biodiversitat de Catalunya","GBIF Spain"
"A Dataset of Deep-Sea Fishes Surveyed by Research Vessels in the Waters around Taiwan",,3184,3184,1.00,299,"Taiwan Biodiversity Information Facility (TaiBIF)","TW","TaiBIF IPT","Taiwan Biodiversity Information Facility"
"Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise Tridens00/5",,3181,3181,1.00,219,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"HAS-Algae - Coleção Ficológica do HAS",,3169,10723,0.30,227,"Fundação Zoobotânica do Rio Grande do Sul","BR","speciesLink Network / INCT-HVFF IPT","GBIF Brazil"
"Distribution of foraminifera of sediment core ENAM93-21",,3161,3161,1.00,8,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Porcupine Marine Natural History Society - Marine flora and fauna records from the North-east Atlantic",,3159,3171,1.00,938,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Ministerio de Medio Ambiente, y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007, Mamíferos",,3129,91307,0.03,2,"Ministry of Agriculture, Food and Environment","ES","TAPIR Installation","GBIF Spain"
"Entocytheridae (Ostracoda) World Database",,3119,3444,0.91,148,"Ecology Unit, Department of Microbiology and Ecology, University of Valencia","ES","GBIF Spain IPT","GBIF Spain"
"Entocytheridae (Ostracoda) World Database",,3119,3444,0.91,148,"Ecology Unit, Department of Microbiology and Ecology, University of Valencia","ES","GBIF Spain IPT","GBIF Spain"
"Distribution of benthic foraminifers (dead) in surface sediments (Table 5)",,3060,3152,0.97,76,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Alga (KIWE-AG)",,3059,5385,0.57,130,"Korea Institutie of Water and Enviroment","KR","KBIF IPT","Korean Biodiversity Information Facility"
"Foraminifera and stable isotopes of sediment core PS2076-3",,3059,3139,0.97,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 3) Relative abundances of benthic foraminifera in ODP Hole 117-728A",,3048,3176,0.96,64,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Distribución y aspectos taxonómicos de los corales pétreos (Anthozoa: Scleractinia) del Pacífico mexicano",,3045,3088,0.99,98,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Biological Records Centre - Coccinellidae Data",,3021,15351,0.20,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Ohio State University Tetrapod Division - Bird Collection (OSUM)",,3018,24634,0.12,228,"Museum of Biological Diversity, The Ohio State University","US","xBioD IPT in the Museum of Biological Diversity at the Ohio State University","U.S. Geological Survey"
"ZOOLOGIA_FCNO_UDEC_CL Foraminiferos_01 (OBIS South America, SOUTH PACIFIC NODE)",t,3014,3258,0.93,23,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"(Appendix 1) Census data of planktic foraminiferal faunas together with estimates of mean annual SST for DSDP Site 90-594",,3007,3080,0.98,15,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 3) Planktonic foraminifers from ODP Hole 114-704A",,2982,4119,0.72,18,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Bird tissue collection, Natural History Museum, University of Oslo",,2964,27152,0.11,108,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Riqueza específica, distribución y abundancia de aves acuáticas en la ensenada de La Paz, Baja California Sur, México",,2963,7698,0.38,36,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Field Museum of Natural History (Zoology) Bird Egg Collection",,2963,20862,0.14,222,"Field Museum","US","Field Museum of Natural History IPT","U.S. Geological Survey"
"CAS Mammalogy (MAM)",,2962,29670,0.10,64,"California Academy of Sciences","US","CAS-IPT","U.S. Geological Survey"
"(Table1) Abundance of planktonic foraminifera in DSDP Hole 75-532",,2955,2955,1.00,13,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Naturalis National Natural History Museum (NL) – Indo-Pacific Plio-Pleistocene fossils",,2953,3509,0.84,288,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"E. C. Smith Herbarium (ACAD)",,2950,53409,0.06,341,"Acadia University","CA","Canadensys repository","Canada Biodiversity Information Facility"
"LGM, planktic foraminifera (EPILOG version)",,2942,2951,1.00,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Naturalis National Natural History Museum (NL) – Coelenterata",,2908,2938,0.99,551,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"(Table A.01) Planktic foraminiferal census data of sediment core GIK23414-9",,2905,2905,1.00,17,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Australian National Herbarium (CANB)",,2898,665476,0.00,382,"Australian National Herbarium (CANB)","AU","DiGIR Installation","Atlas of Living Australia"
"Herbarium of Umeå University (UME)",,2888,86805,0.03,560,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"Ground Beetle Recording Scheme - Carabid data for Great Britain from the Ground Beetle Recording Scheme held by BRC",,2884,110082,0.03,16,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Inventory of Antarctic seabird breeding sites",,2883,2883,1.00,13,"Australian Antarctic Data Centre","AU","AADC IPT","Atlas of Living Australia"
"Parasitic Platyhelminthes Collections",,2879,8518,0.34,486,"Muséum d'histoire naturelle de la Ville de Genève - MHNG","CH","BioCASe Installation Muséum d'histoire naturelle de la Ville de Genève - MHNG","GBIF Switzerland"
"(Table 4) Occurrence and estimated abundance of planktonic foraminifers at DSDP Site 85-573",,2856,6324,0.45,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Electronic Atlas of Ichthyoplankton on the Scotian Shelf of North America (OBIS Canada)",t,2853,2855,1.00,107,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"CU Invertebrate Paleontology",,2851,7915,0.36,1038,"University of Colorado Museum of Natural History","US","CU Museum of Natural History IPT","U.S. Geological Survey"
"NCSM Invertebrate Paleontology Collection",,2842,5544,0.51,336,"North Carolina State Museum of Natural Sciences","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Rocky Shore Macroalgae",,2824,2824,1.00,138,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Range table from planktonic foraminifers in ODP Hole 164-997A",,2821,3731,0.76,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Museu Paraense Emilio Goeldi -  ichthyology Collection",,2818,33682,0.08,167,"Museu Paraense Emílio Goeldi","BR","Museu Paraense Emílio Goeldi","GBIF Brazil"
"Vascular Plants, Field notes, Oslo (O)",,2816,1179033,0.00,18,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"The Collection of Fungi of the Real Jardín Botánico of Madrid (MA-Fungi)",,2803,73744,0.04,625,"Real Jardín Botánico (CSIC)","ES","GBIF Spain IPT","GBIF Spain"
"Birds collection (ZO) of the Muséum national d'Histoire Naturelle (MNHN - Paris)",,2802,29046,0.10,313,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"Genebank, National Institute of Agrobiological Sciences",,2788,13375,0.21,332,"National Institute of Genetics, ROIS","JP","National Institute of Genetics, ROIS","GBIF Japan"
"(Table 1) Stratigraphic ranges of planktonic foraminifers in ODP Hole 144-871A",,2781,4738,0.59,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Appendix A) Abundance of benthic foraminifera in sediment core GIK17940-2",,2780,2863,0.97,66,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"CONN",,2770,152873,0.02,484,"University of Connecticut","US","The University of Connecticut Biological Collections","U.S. Geological Survey"
"Colección de Crustáceos Decápodos Marinos de las Costas Mexicanas (UANL)",,2767,2965,0.93,241,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","REMIB_UANL","Biodiversity Information System of Mexico"
"Cnidarios, poliquetos, crustáceos (decápodos) y quetognatos pelágicos del Golfo de California",,2757,2779,0.99,132,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Animal Sound Archive",,2731,29043,0.09,157,"Museum für Naturkunde Berlin","DE","BioCASe Installation Museum für Naturkunde Berlin","GBIF Germany"
"(Appendix B) Percentages, total flux and fragmentation index of planktic foraminifera for core T89-40, Walvis Ridge (SE Atlantic)",,2730,2730,1.00,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Figure 2) Quaternary biostratigraphy and planktonic foraminifera of DSDP Hole 72-517",,2727,2929,0.93,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Distribution of foraminifera of sediment core GeoB1112-4",,2723,2911,0.94,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Marineplant (JBRI-SA)",,2699,2704,1.00,152,"Jeju Biodiversity Research Institute of Korea (JBRI)","KR","KBIF IPT","Korean Biodiversity Information Facility"
"Collection Aves (spirit preserved) SMF",,2698,30848,0.09,354,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Bird Collection of Museum and Institute of Zoology PAS",,2688,27668,0.10,196,"Museum and Institute of Zoology, Polish Academy of Sciences","PL","TAPIR Installation","Polish Biodiversity Information Network"
"Collection Echinodermata SMF",,2679,2689,1.00,716,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"RMT Trawl catch from the 1995/96 V4 BROKE voyage",,2668,2668,1.00,81,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Benthic foraminifera distribution of sediment core GIK17957-2",,2660,2660,1.00,35,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Actualización y enriquecimiento de las bases de datos del proyecto de evaluación y análisis geográfico de la diversidad faunística de Chiapas",,2659,83785,0.03,237,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Merseyside BioBank - North Merseyside Fish (unverified)",,2655,2683,0.99,53,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"University of British Columbia Herbarium (UBC) - Bryophytes Collection",,2651,181862,0.01,5,"University of British Columbia","CA","Canadensys repository","Canada Biodiversity Information Facility"
"Relative abundance of planktic foraminifera in sediment core GeoB1523-1",,2641,2774,0.95,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Naturalis Biodiversity Center (NL) - Chelicerata and Myriapoda",,2637,45413,0.06,450,"Naturalis Biodiversity Center","NL","Naturalis HTTP installation","Netherlands Biodiversity Information Facility"
"(Table 1) Range table of planktonic foraminifers from ODP Hole 166-1006A sediments",,2636,5104,0.52,15,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Mollusk Collection of Yokosuka City Museum",,2632,2916,0.90,838,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise Cirolana00/5",,2629,2629,1.00,182,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table T2) Plankontic foraminifera stratigraphy of ODP Hole 184-1146A",,2628,5840,0.45,18,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"ESAS cetacean sightings from 1980 to 2003.",,2617,2617,1.00,21,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Distribution of planktic foraminifers of core Y71-09-101",,2616,2799,0.93,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"CeDoc de Biodiversitat Vegetal: BCN- Algues de J. Rodríguez Femenías",,2612,2650,0.99,471,"CeDoc of Plant Biodiversity (CeDocBIV), Univ. Barcelona","ES","TAPIR Installation","GBIF Spain"
"MAR-ECO (EurOBIS)",t,2612,2612,1.00,234,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine invertabrate(ECHINODERMATA) specimen database of Osaka Museum of Natural History",,2612,2633,0.99,558,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Zoological Museum Amsterdam, University of Amsterdam (NL) - Bryozoa",,2609,2655,0.98,498,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"(Table 3) Relative abundance of benthic foraminifera in sediment profile HUD84-030-04",,2606,2606,1.00,64,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"UNSM Vertebrate Specimens",,2589,57239,0.05,196,"University of Nebraska State Museum","US","DiGIR Installation","U.S. Geological Survey"
"(Table 4) Distribution of planktonic foraminifers in ODP Hole 112-683A",,2580,4042,0.64,29,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Actualización y depuración de las bases de datos de la Colección Nacional de Helmintos: P085 y Q028",,2561,3991,0.64,652,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Free-living marine Nematodes from San Antonio and Cormoranes sandy beaches (Rio Negro, Argentina), 2006.",,2538,2538,1.00,54,"Centro Nacional Patagonico - CONICET","AR","IPT CENPAT-CONICET","GBIF Argentina"
"(Table  8A) Occurrences of planktonic foraminifers in selected samples of DSDP Hole 89-586B, Sections 1-1 through 5-1",,2528,3820,0.66,31,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 3) Plio-Pleistocene benthic foraminifera of ODP Hole 107-653A",,2512,2565,0.98,130,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 7) Distribution of planktonic foraminifers in ODP Hole 112-685A",,2492,3115,0.80,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"AMNH Mammal Collections",,2491,265956,0.01,99,"American Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"(Table 13) Occurrences of planktonic foraminifers in selected samples of DSDP Hole 90-591",,2485,3464,0.72,31,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Monitoring data from the federal state Rhineland-Palatinate (Germany)",,2477,14360,0.17,74,"BioFresh","DE","BioFresh","Society for the Management of Electronic Biodiversity Data (SMEBD)"
"CRCM Vertebrate Collection",,2468,47403,0.05,198,"Charles R. Conner Museum","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Visherintroductie - Reintroduction of the fishes chub, dace, burbot, and brown trout in Flanders, Belgium",,2464,3387,0.73,14,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"(Table 3) Relative abundance of benthic foraminifera in late Cenozoic sediments of DSDP Hole 68-502A from the Caribbean Sea",,2464,2566,0.96,115,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"University of Ghana - Ghana Herbarium",,2461,77817,0.03,578,"Ghana Biodiversity Information Facility (GhaBIF)","GH","NLBIF IPT","Ghana Biodiversity Information Facility"
"(Figure 6) Distribution of benthic foraminifers in middle-upper and Quaternary in DSDP Site 71-512",,2458,2642,0.93,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundances of planktonic foraminifera in ODP Site 121-758 (Table 1)",,2457,2588,0.95,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Bird Specimens in the Museum of Nature and Human Activities, Hyogo, Japan",,2456,15262,0.16,276,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Foraminifera distribution of sediment core KET80-03",,2450,2487,0.99,18,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"DSMZ Prokarya Collection Catalogue",,2450,13581,0.18,1412,"Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures","DE","BioCASe Installation Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures","GBIF Germany"
"Marine and Coastal Management - Seal Surveys (AfrOBIS)",t,2440,2440,1.00,1,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"The Environmental Sample Collection of Spiders at the Staatliches Museum für Naturkunde Karlsruhe",,2433,31836,0.08,30,"Staatliche Naturwissenschaftliche Sammlungen Bayerns","DE","BioCASe Installation Staatliche Naturwissenschaftliche Sammlungen Bayerns","GBIF Germany"
"Foraminifera, sedimentological parameters and sea surface temperature and salinity calculated on core SO82_5-2",,2431,2431,1.00,3,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Cowan Tetrapod Collection - Birds",,2430,18812,0.13,268,"University of British Columbia","CA","IPT - Hosted by VertNet","Canada Biodiversity Information Facility"
"Census of the animals of Benin",,2425,17347,0.14,213,"GBIF Benin","BJ","GBIF Benin IPT","GBIF Benin"
"(Table 12) Distribution of Neogene planktonic foraminifers in sediments of ODP Hole 115-714A",,2420,5390,0.45,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"British Lichen Society - BLS Lichen Database: Welsh churchyards",,2420,15106,0.16,32,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"(Figure 13) Distribution of middle Miocene through middle Pleistocene planktonic foraminifera in ODP Hole 132-810C",,2414,3692,0.65,33,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 2) Distribution of planktic foraminifers of sediment core D11957P",,2412,2429,0.99,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Distribution of planktic foraminifera in sediment core GIK23415-9",,2411,2411,1.00,19,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Figure 2) Planktonic foraminifera abundance in DSDP Hole 93-603C",,2406,3924,0.61,17,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"U.S.D.A. Forest Service, Redwood Sciences Laboratory - Lamna Point Count",,2384,179498,0.01,28,"Avian Knowledge Network","US","Avian Knowledge Network","U.S. Geological Survey"
"BCCM/MUCL - (Agro)Industrial Fungi and Yeasts Collection",,2380,11405,0.21,422,"BeBIF Provider","BE","BeBIF Provider","Belgium Biodiversity Information Facility"
"Collection Polychaeta - ZIM Hamburg",,2379,2381,1.00,393,"Senckenberg","DE","BioCASe Installation Senckenberg","GBIF Germany"
"Diversidad dinámica y patrones reproductivos en la comunidad de peces demersales del Golfo de Tehuantepec",,2379,2379,1.00,158,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Collections data on ecology of bottom animal of the Southern ocean",,2358,2358,1.00,106,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Range table from planktonic foraminifers in ODP Hole 152-918A",,2352,2652,0.89,14,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"RMT Trawl catch from the 1984/85 V5 SIBEX2 voyage",,2342,2342,1.00,117,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Consortium of California Herbaria",,2338,993391,0.00,23,"Consortium of California Herbaria","US","TAPIR Installation","U.S. Geological Survey"
"Lichen herbarium, UiB",,2335,68200,0.03,83,"University of Bergen","NO","gbif.no","GBIF Norway"
"NYSM Birds",,2332,13889,0.17,222,"New York State Museum (NYSM)","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"(Appendix Table 1) Absolute abundances of benthic foraminifers in DSDP Hole 94-608",,2325,2503,0.93,98,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core V28-238",,2322,2421,0.96,32,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Zoological Museum Amsterdam, University of Amsterdam (NL) – Mollusca_Types",,2305,2673,0.86,1253,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"Biodiversidad de la macrofauna bentónica en la microcuenca de Chabihau, Yucatán",,2303,2406,0.96,74,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Database of invertebrates collected in Mongolia",,2302,77160,0.03,23,"Hungarian Natural History Museum","HU","BioCASe Installation Hungarian Natural History Museum","Consortium of European Taxonomic Facilities"
"Joint Nature Conservation Committee - England Otter Survey Database",,2297,2297,1.00,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Collections of Phytoplankton at BGBM",,2284,3717,0.61,72,"Botanic Garden and Botanical Museum Berlin-Dahlem","DE","BioCASe Installation Botanic Garden and Botanical Museum Berlin-Dahlem","GBIF Germany"
"Biological Resource Center, Department of Biotechnology, National Institute of Technology and Evaluation",,2283,12513,0.18,982,"National Institute of Genetics, ROIS","JP","National Institute of Genetics, ROIS","GBIF Japan"
"National Trust - Wicken Fen nature reserve species data held by The National Trust",,2280,71484,0.03,505,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"A comparison of benthic biodiversity in the North Sea, English Channel and Celtic Seas (EurOBIS)",t,2278,2278,1.00,390,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Mid-Pleistocene (800-400 ka) planktic foraminfer assemblages of IODP Site 306-U1314",,2276,2276,1.00,6,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Inventario de macroalgas de Bahía de Banderas: Fase I y Fase II",,2272,2297,0.99,253,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
